P12,,,,
Dia,Oil Rate SC  [Ruído],Water Rate SC  [Ruído],Gas Rate SC  [Ruído],Well Bottom-hole Pressure   [Ruído]
30,0,0,0,61684.14932
31,0,0,0,62746.60631
32,0,0,0,63366.25834
33,0,0,0,61912.67229
34,0,0,0,63443.96287
35,0,0,0,63398.029
36,0,0,0,62968.16307
37,0,0,0,63108.03174
38,0,0,0,63407.29304
39,0,0,0,62271.95292
40,0,0,0,61886.71894
41,0,0,0,61587.68843
42,0,0,0,63942.11878
43,0,0,0,62481.56652
44,0,0,0,61523.61028
45,0,0,0,62315.51622
46,0,0,0,61534.71057
47,0,0,0,61756.57337
48,0,0,0,63223.32675
49,0,0,0,63860.89226
50,0,0,0,63957.43091
51,0,0,0,62715.06644
52,0,0,0,62856.08402
53,0,0,0,63675.39576
54,0,0,0,62207.18743
55,0,0,0,63288.01698
56,0,0,0,62298.8244
57,0,0,0,62846.43617
58,0,0,0,61715.53868
59,0,0,0,62493.6627
60,0,0,0,62460.36183
61,0,0,0,63504.9806
62,0,0,0,62841.99606
63,0,0,0,62826.14961
64,0,0,0,63953.21907
65,0,0,0,63358.44925
66,0,0,0,62539.29053
67,0,0,0,61811.5405
68,0,0,0,62637.43716
69,0,0,0,63103.59162
70,0,0,0,62529.79822
71,0,0,0,61658.04545
72,0,0,0,63629.30886
73,0,0,0,63595.46866
74,0,0,0,63062.48167
75,0,0,0,61957.91883
76,0,0,0,63370.92924
77,0,0,0,63509.95504
78,0,0,0,62711.16064
79,0,0,0,61861.22715
80,0,0,0,63492.34759
81,0,0,0,61970.85537
82,0,0,0,63351.40527
83,0,0,0,61763.77038
84,0,0,0,63552.21641
85,0,0,0,61827.54248
86,0,0,0,63148.68263
87,0,0,0,63334.48768
88,0,0,0,63777.75171
89,0,0,0,63001.92301
90,0,0,0,61779.84761
91,0,0,0,62942.74655
92,0,0,0,62518.85095
93,0,0,0,61660.57155
94,0,0,0,63230.52375
95,0,0,0,62396.35894
96,0,0,0,61977.05648
97,0,0,0,62189.73301
98,0,0,0,62760.61651
99,0,0,0,61947.66281
100,0,0,0,61906.47509
101,0,0,0,62540.82716
102,0,0,0,63587.12916
103,0,0,0,61986.47745
104,0,0,0,62373.39716
105,0,0,0,62569.99395
106,0,0,0,62213.39245
107,0,0,0,63464.40887
108,0,0,0,62797.67406
109,0,0,0,63465.17398
110,0,0,0,63004.60854
111,0,0,0,63365.26635
112,0,0,0,63311.52339
113,0,0,0,62728.84976
114,0,0,0,63449.17451
115,0,0,0,62861.14012
116,0,0,0,63183.3671
117,0,0,0,62983.63213
118,0,0,0,63177.31901
119,0,0,0,61890.85692
120,0,0,0,62343.00369
121,0,0,0,63946.1815
122,0,0,0,63265.20822
123,0,0,0,62818.03839
124,0,0,0,63264.67139
125,0,0,0,63364.04219
126,0,0,0,63739.63083
127,0,0,0,61923.31743
128,0,0,0,61683.92494
129,0,0,0,63855.53792
130,0,0,0,63439.75745
131,0,0,0,63929.33917
132,0,0,0,63541.88513
133,0,0,0,63781.88969
134,0,0,0,62628.33005
135,0,0,0,63194.08609
136,0,0,0,63952.68866
137,0,0,0,61706.50933
138,0,0,0,62470.77618
139,0,0,0,61891.24072
140,0,0,0,63217.05178
141,0,0,0,62603.06654
142,0,0,0,61776.40478
143,0,0,0,63794.98176
144,0,0,0,63203.19711
145,0,0,0,62686.20708
146,0,0,0,62680.84884
147,0,0,0,63817.64141
148,0,0,0,63927.95947
149,0,0,0,63743.91792
150,0,0,0,63085.14522
151,0,0,0,62225.86993
152,0,0,0,63867.40331
153,0,0,0,63739.55306
154,0,0,0,62583.3143
155,0,0,0,63477.42318
156,0,0,0,63760.22343
157,0,0,0,62021.23327
158,0,0,0,62201.8331
159,0,0,0,63519.30074
160,0,0,0,62381.05072
161,0,0,0,63535.22245
162,0,0,0,62105.44746
163,0,0,0,63254.48923
164,0,0,0,61608.13443
165,0,0,0,62682.3038
166,0,0,0,62679.54691
167,0,0,0,61846.99008
168,0,0,0,61736.05993
169,0,0,0,63964.93786
170,0,0,0,63107.7296
171,0,0,0,62555.21865
172,0,0,0,61849.2879
173,0,0,0,62364.74521
174,0,0,0,62856.08792
175,0,0,0,62322.94541
176,0,0,0,63768.26331
177,0,0,0,63176.17261
178,0,0,0,62690.95324
179,0,0,0,62835.71969
180,0,0,0,61771.42393
181,0,0,0,61727.78788
182,0,0,0,63115.15098
183,0,0,0,61728.63075
184,0,0,0,61759.17724
185,0,0,0,62715.9068
186,0,0,0,61868.42165
187,0,0,0,61653.4498
188,0,0,0,61891.8489
189,0,0,0,62091.3556
190,0,0,0,63426.73924
191,0,0,0,63417.16916
192,0,0,0,63454.14504
193,0,0,0,63698.89827
194,0,0,0,62009.2862
195,0,0,0,63338.69701
196,0,0,0,61537.31444
197,0,0,0,63642.55144
198,0,0,0,63709.53949
199,0,0,0,63683.12708
200,0,0,0,61713.9307
