P13,,,,
Dia,Oil Rate SC  [Ruído],Water Rate SC  [Ruído],Gas Rate SC  [Ruído],Well Bottom-hole Pressure   [Ruído]
3045,4337.72,50.3887,2252120,51054.5
3046,5320.86,60.076,2783160,50439.5
3047,4979.4,58.2727,2605590,50272.5
3048,4405.54,51.7528,2276900,50891.1
3049,4366.17,51.2536,2262560,50976.2
3050,4348.18,51.0782,2255500,51011
3051,4342.45,51.0565,2253720,51024.9
3052,4339.64,51.0758,2253210,51033.5
3053,4337.94,51.1145,2253010,51039.4
3054,4336.72,51.1634,2252920,51043.8
3055,4335.45,51.2153,2252730,51047.7
3056,4332.64,51.253,2251660,51052.3
3057,4329.08,51.2905,2250190,51058.6
3058,4327.98,51.3499,2249980,51061.8
3059,4326.98,51.4132,2249810,51065.1
3060,4325.75,51.4753,2249580,51067.9
3061,4324.97,51.5374,2249580,51070.1
3062,4323.67,51.5928,2249380,51072.9
3063,4322.52,51.6535,2249240,51075.4
3064,4321.35,51.7146,2249070,51077.9
3065,4319.43,51.7686,2248470,51081.1
3066,4318.84,51.8388,2248560,51083
3067,4318.08,51.9082,2248540,51084.9
3068,4317.79,51.9837,2248720,51086.3
3069,4317.45,52.0591,2248860,51087.7
3070,4317.3,52.1378,2249070,51088.8
3071,4317.17,52.2162,2249260,51089.9
3072,4316.76,52.2939,2249270,51091.1
3073,4316.34,52.3696,2249250,51092.4
3074,4315.91,52.4465,2249210,51093.6
3075,4315.62,52.5274,2249220,51094.6
3076,4315.13,52.6049,2249090,51095.7
3077,4839.99,58.1151,2532710,50767.3
3078,4358.8,53.4139,2269340,51023.5
3079,4323.31,53.0473,2252070,51073.2
3080,4316.16,53.0309,2249120,51087
3081,4314.46,53.0858,2248730,51092
3082,4314.34,53.1616,2249000,51094.2
3083,4314.26,53.2396,2249200,51096
3084,4314.02,53.3179,2249260,51097.8
3085,4313.93,53.3952,2249380,51099.4
3086,4314,53.4735,2249590,51100.9
3087,4314,53.5471,2249750,51102.5
3088,4313.63,53.6142,2249720,51104.7
3089,4313.84,53.6846,2250010,51106.5
3090,4313.79,53.758,2250180,51108.5
3091,4314.16,53.8325,2250590,51110.4
3092,4314.15,53.9033,2250800,51112.6
3093,4314.32,53.9698,2251160,51115
3094,4314.14,54.0288,2251400,51118.2
3095,4314.34,54.0833,2251920,51121.8
3096,4313.91,54.1285,2252170,51126.2
3097,4313.15,54.1632,2252290,51131.3
3098,4310.92,54.1771,2251660,51138.5
3099,4311.09,54.219,2252350,51143.3
3100,4310.78,54.2605,2252780,51148.4
3101,4310.49,54.3042,2253230,51153.5
3102,4310.1,54.3471,2253600,51158.8
3103,3248.08,42.9601,1686150,51830.3
3104,3292.86,41.6691,1703350,52225.5
3105,3288.24,41.424,1706230,52285
3106,3582.86,44.4931,1866000,52137
3107,3577.76,44.8712,1867160,52052.4
3108,3586.93,44.9873,1871880,52052.7
3109,3598.5,45.1253,1878340,52053.5
3110,3603,45.1892,1881030,52059.7
3111,3605.86,45.2372,1882820,52067.6
3112,3304.71,41.9659,1722030,52266.6
3113,3325.84,41.7136,1731460,52376.4
3114,3320.15,41.5945,1729860,52407.2
3115,3317.06,41.531,1728940,52428.4
3116,3312.83,41.4616,1727160,52449.2
3117,3310.55,41.4236,1726310,52467
3118,0,0,0,52642
3119,3492.7,35.9968,1720990,53247.9
3120,3341.8,40.9066,1739770,52652.1
3121,3328.85,41.0789,1735330,52609.2
3122,3326.5,41.2009,1734710,52595.1
3123,3323.94,41.2639,1733600,52592.1
3124,3322.45,41.3118,1732980,52594
3125,3322.06,41.3596,1732920,52597.8
3126,3878.72,47.5843,2031780,52252.9
3127,3340.67,41.8362,1739210,52550.8
3128,3332.3,41.7065,1736950,52587.3
3129,3331.34,41.7112,1737370,52601.6
3130,4438.22,54.0848,2334060,51915.3
3131,3811.89,49.0812,2001710,51874.2
3132,3859.7,48.9265,2018700,52028
3133,3864.44,49.0651,2021970,52027.6
3134,3323.4,43.1171,1732350,52366.8
3135,3354.18,42.598,1744840,52557.4
3136,3350.29,42.5007,1744950,52589.4
3137,3349.58,42.4786,1745680,52610.5
3138,3856.21,48.1686,2017870,52308.9
3139,3834.63,48.835,2010080,52143
3140,3845.83,49.1251,2013990,52123
3141,3855.95,49.3705,2018590,52112.8
3142,4275.9,54.2195,2244570,51849.5
3143,4266.4,54.9624,2241750,51693.5
3144,4276.65,55.3068,2244850,51669
3145,3353.29,45.062,1748640,52242.5
3146,3392.53,44.0584,1762730,52575
3147,3391.24,43.989,1766560,52623.3
3148,3381,43.8693,1763000,52661.6
3149,3378.7,43.8757,1763040,52688.4
3150,3379.24,43.9386,1764320,52709.5
3151,3377.03,43.9823,1763750,52730.7
3152,3377.05,44.0594,1764230,52749
3153,3377.93,44.1538,1765060,52765.3
3154,3378.73,44.2535,1765760,52780.9
3155,3392.14,44.5202,1773300,52784.9
3156,3400.32,44.7285,1777800,52790.1
3157,3391.59,44.7161,1773070,52811.8
3158,3966.43,51.4592,2081850,52467.6
3159,3411.75,45.3694,1779170,52773.2
3160,3397.91,45.1994,1774500,52831.6
3161,3397.61,45.2731,1775430,52853.5
3162,3399.4,45.3898,1776840,52868.6
3163,3400.67,45.5086,1777730,52882.6
3164,2899.7,39.7726,1510750,53211.2
3165,2926.23,39.2799,1521260,53398.3
3166,2923.77,39.2536,1522080,53435.9
3167,3324.46,44.0097,1736840,53209.8
3168,2910.98,39.9579,1519290,53340.1
3169,2933.22,39.696,1526290,53472.5
3170,2931.62,39.7447,1526170,53498.5
3171,2932.72,39.8497,1526910,53516.3
3172,2933.7,39.9675,1527350,53531.8
3173,2933.89,40.0792,1527200,53546.4
3174,2935.11,40.206,1527540,53559.3
3175,2936.62,40.3371,1528000,53571
3176,3309.15,44.8861,1726370,53348.9
3177,3296.76,45.547,1721960,53228.1
3178,2918.8,41.2448,1518300,53457.7
3179,2946.31,41.0697,1528730,53579.7
3180,2944.2,41.1178,1528400,53601.5
3181,2943.66,41.202,1528410,53617.3
3182,2943.38,41.2965,1528280,53630.9
3183,2943.71,41.4033,1528340,53642.7
3184,2944.12,41.5125,1528370,53653.7
3185,2944.9,41.6284,1528570,53663.9
3186,2944.81,41.732,1528270,53674.5
3187,2944.63,41.8339,1527910,53685
3188,2945.48,41.9498,1528110,53694.3
3189,2946.47,42.0675,1528390,53703.2
3190,2947.53,42.1859,1528690,53711.8
3191,2945.88,42.2688,1527550,53721.7
3192,2949.49,42.4217,1529220,53728.8
3193,2951.45,42.5596,1530010,53735.9
3194,2953.25,42.6929,1530690,53742.9
3195,3380.03,48.0198,1757500,53482.3
3196,3364.89,48.7574,1751880,53337.4
3197,2931.28,43.6767,1518980,53594.6
3198,2964.93,43.473,1532260,53729
3199,2962.56,43.5086,1532260,53750.1
3200,2962.64,43.5992,1532760,53762.5
3201,0,0,0,53987.1
3202,0,0,0,54051.1
3203,0,0,0,54137.6
3204,3400.4,40.7845,1676900,54483.5
3205,3334.84,46.9657,1722040,53865.7
3206,3312.9,47.9856,1715700,53658.9
3207,3310.45,48.3819,1713900,53607.9
3208,3307.62,48.6602,1711770,53579.3
3209,2952.35,44.5001,1523120,53783.2
3210,2986.65,44.5096,1538330,53875.1
3211,2983.02,44.5855,1537670,53883.9
3212,2978.66,44.6509,1535850,53891.2
3213,2978.76,44.7787,1536180,53894.3
3214,2978.04,44.887,1535860,53898.2
3215,2977.95,44.9997,1535800,53902.2
3216,2977.72,45.1061,1535630,53906.5
3217,2977.43,45.2093,1535400,53911.1
3218,2961.99,45.1182,1527160,53925.4
3219,2965.81,45.2612,1528910,53929.8
3220,2958.48,45.2503,1524970,53944.7
3221,2957.72,45.3373,1524550,53951.5
3222,2959.32,45.4526,1525360,53956.2
3223,2962.99,45.5961,1527260,53958.6
3224,2966.09,45.7318,1528830,53961.3
3225,2968.53,45.8579,1530030,53964.7
