P15,,,,
Dia,Oil Rate SC  [Ruído],Water Rate SC  [Ruído],Gas Rate SC  [Ruído],Well Bottom-hole Pressure   [Ruído]
3045,3814.3,1054.97,2128050,54159.1
3046,4691.22,1325.55,2629130,53537.3
3047,4444.14,1241.48,2472310,53360.7
3048,3881.97,1075.95,2154220,54002.9
3049,3839.16,1065.22,2140960,54085.9
3050,3822.5,1060.03,2134000,54120.8
3051,3817.47,1058.87,2132000,54134.2
3052,3814.4,1058.31,2130850,54143.8
3053,3812.22,1058.24,2130130,54150.4
3054,3810.49,1058.26,2129620,54155.7
3055,3808.73,1057.98,2129120,54161.3
3056,3805.7,1057.24,2127930,54167.4
3057,3802.04,1056.25,2126500,54174.9
3058,3800.76,1055.99,2126320,54178.9
3059,3799.49,1055.74,2126160,54182.6
3060,3798.23,1055.43,2125950,54186.4
3061,3797.33,1055.3,2125930,54189.2
3062,3795.95,1054.97,2125710,54192.8
3063,3794.6,1054.57,2125570,54196.2
3064,3786.02,1051.43,2125450,54208.6
3065,3787.86,1054.43,2127650,54207.9
3066,3788.6,1055.99,2127400,54211.7
3067,3788.87,1058.72,2126450,54210.9
3068,3788.63,1060.59,2124910,54210.3
3069,3788.28,1061.58,2123360,54210
3070,3787.92,1061.66,2122130,54210.6
3071,3786.94,1060.79,2121020,54212.3
3072,3787.05,1059.98,2121010,54213.4
3073,3786.94,1059.2,2121000,54214.5
3074,3786.88,1058.68,2121100,54215.7
3075,3786.63,1058.51,2121100,54216.8
3076,3786.13,1058.35,2120990,54218.3
3077,4250.94,1203.38,2388240,53889.9
3078,3829.36,1070.4,2141060,54147.9
3079,3793.99,1061.93,2124730,54197
3080,3786.68,1060.13,2121400,54211.5
3081,3784.81,1059.85,2120680,54217.4
3082,3784.53,1060.24,2120680,54220.8
3083,3784.17,1060.83,2120560,54224
3084,3783.8,1061.6,2120390,54227.2
3085,3783.39,1062.47,2120130,54230.7
3086,3783.31,1063.47,2119970,54234.3
3087,3783.44,1064.19,2119900,54237.8
3088,3783.02,1064.76,2119560,54242.1
3089,3783.03,1065.51,2119470,54246.1
3090,3783.02,1066.32,2119450,54250.4
3091,3783.07,1067.28,2119450,54254.4
3092,3783,1068.25,2119410,54258.7
3093,3782.61,1068.94,2119320,54263.2
3094,3782.27,1069.5,2119340,54267.5
3095,3782.08,1069.92,2119500,54271.3
3096,3781.56,1070.13,2119500,54274.9
3097,3780.88,1070.1,2119410,54278.1
3098,3778.46,1069.4,2118400,54282.7
3099,3778.47,1069.26,2118700,54284.2
3100,3778.06,1068.97,2118860,54285.4
3101,3777.62,1068.57,2119080,54286.2
3102,3777.04,1068.09,2119190,54286.7
3103,2799.36,750.855,1585540,54987.3
3104,2816.96,767.972,1594050,55354.8
3105,2809.29,766.578,1593980,55405.9
3106,3072.64,854.017,1739840,55244.5
3107,3076.66,852.95,1741710,55153.7
3108,3084.61,855.975,1745940,55143.1
3109,3093.74,860.109,1751200,55131.8
3110,3096.57,862.426,1752910,55124.6
3111,3097.75,863.918,1753980,55119.9
3112,2823.54,773.115,1603430,55315
3113,2832.35,779.809,1609560,55409.7
3114,2825.47,778.924,1606980,55429
3115,2822.25,778.659,1605630,55439.3
3116,2816.73,777.661,1602880,55450.6
3117,2813.18,777.398,1601140,55459.5
3118,3287.21,937.724,1868920,55123.8
3119,2814.18,773.559,1599970,55281.7
3120,2818.62,781.9,1602310,55443.8
3121,2813.6,781.295,1601090,55461.9
3122,2811.83,780.998,1600800,55471.6
3123,2811.27,781.25,1600930,55478.1
3124,2810.55,781.456,1600890,55483.6
3125,2810.35,782.018,1601080,55487.7
3126,3295.54,945.867,1876800,55142.6
3127,2832.25,788.863,1607460,55439.5
3128,2819.42,787.24,1605370,55471.5
3129,2817.1,786.754,1605640,55482.3
3130,3788.67,1115.16,2156140,54788.3
3131,3288.74,932.445,1862680,54756.9
3132,3307.17,946.893,1874730,54905.2
3133,3309.99,952.72,1875710,54901.3
3134,2826.79,793.814,1605840,55247.6
3135,2839.45,805.721,1612000,55425.9
3136,2835.07,805.683,1610900,55454.4
3137,2833.41,805.854,1609890,55471.8
3138,0,0,0,61003.3
3139,0,0,0,61678
3140,0,0,0,61980.5
3141,0,0,0,62134.3
3142,0,0,0,62224
3143,0,0,0,62288.9
3144,0,0,0,62330.4
3145,2925.56,931.442,1681180,56891.8
3146,2884.72,862.665,1630060,55880.2
3147,2876.71,858.295,1623660,55777.3
3148,2861.92,852.607,1616730,55737.4
3149,2850.71,847.954,1613990,55715.2
3150,2845.34,847.132,1614190,55693.5
3151,2839.09,846.912,1612790,55678.7
3152,2834.43,848.512,1611530,55664.1
3153,2832.98,849.01,1611620,55655.8
3154,2832.24,849.929,1611510,55649
3155,2842.25,854.774,1617220,55633.5
3156,2848.51,858.135,1620340,55620.1
3157,2838.43,856.288,1614540,55624.8
3158,3330.12,1033.56,1894040,55267.3
3159,2863.16,863.73,1619220,55556.7
3160,2842.56,861.403,1614080,55597.8
3161,2840.63,862.045,1613750,55605
3162,2841.06,862.8,1613860,55606.6
3163,2841.25,863.626,1613980,55606.7
3164,2397.08,702.84,1370920,55932.7
3165,2410.55,713.421,1377510,56096.4
3166,2405.97,714.487,1376720,56120.8
3167,2757.24,848.087,1568140,55872.8
3168,2397.42,708.959,1373140,56016.6
3169,2411.68,717.92,1378240,56132.1
3170,2406.61,717.938,1376630,56151.6
3171,2405.71,718.674,1376590,56162.2
3172,2405.29,719.437,1376590,56170
3173,2403.9,719.775,1375940,56177
3174,2404.13,720.729,1376120,56181.6
3175,2404.1,721.583,1376150,56185.4
3176,0,0,0,61233.1
3177,0,0,0,61830.1
3178,2457.04,734.376,1419360,57091.3
3179,2413.09,730.655,1379330,56382.8
3180,2413.86,732.494,1377980,56321.5
3181,2406.13,730.585,1374690,56296.4
3182,2403.55,731.043,1373750,56279.7
3183,2399.28,730.151,1372950,56271.6
3184,2397.61,730.473,1373130,56266
3185,2396.78,730.958,1373350,56261.7
3186,2396.04,720.426,1373030,56289.7
3187,2401.97,724.586,1376690,56282.3
3188,2401,725.56,1376490,56280
3189,2400.57,726.516,1376450,56278.5
3190,2400.36,727.385,1376450,56277.3
3191,2397.4,727.156,1374890,56278.2
3192,2399.63,728.849,1376100,56276
3193,2400.68,729.931,1376640,56274.1
3194,2401.61,730.926,1377060,56272.5
3195,2767.9,870.718,1579620,55998.7
3196,2766.95,863.92,1579130,55857.4
3197,2392.31,723.548,1369580,56109.3
3198,2414.72,736.825,1380200,56221.4
3199,2409.18,736.388,1378490,56234.6
3200,2408.08,736.459,1378290,56239.4
3201,2772.02,872.854,1579920,55975.2
3202,2771.27,867.384,1579320,55837.2
3203,2779.05,868.968,1580410,55812.7
3204,2630.35,813.505,1496680,55912.3
3205,2706.79,844.478,1536700,55991.8
3206,2701.79,837.491,1536820,55903.2
3207,2702.95,837.57,1537550,55894.8
3208,2705.63,839.412,1538310,55886.2
3209,2398.79,728.163,1369800,56103.9
3210,2422.72,742.023,1381850,56192.2
3211,2419.53,742.909,1380830,56204.5
3212,2414.99,742.282,1378410,56214.7
3213,2415.35,743.291,1378520,56218.7
3214,2414.68,743.425,1377950,56223.7
3215,2414.82,744.24,1377840,56226.6
3216,2414.39,744.845,1377410,56229.6
3217,2413.84,745.425,1376940,56232.6
3218,2399.49,740.849,1369020,56245.4
3219,2402.46,742.784,1370370,56247.4
3220,2395.51,741.278,1366480,56259.1
3221,2394.39,741.764,1365750,56262.5
3222,2395.8,743.119,1366370,56263
3223,2398.59,744.938,1367740,56260.9
3224,2400.89,746.556,1368820,56258.7
3225,2402.63,747.951,1369580,56256.8
